Sequence_ID,Pose,L_Shoulder_Angle_max,L_Shoulder_Angle_min,L_Shoulder_Angle_avg,L_Shoulder_Angle_var,R_Shoulder_Angle_max,R_Shoulder_Angle_min,R_Shoulder_Angle_avg,R_Shoulder_Angle_var,L_Elbow_Angle_max,L_Elbow_Angle_min,L_Elbow_Angle_avg,L_Elbow_Angle_var,R_Elbow_Angle_max,R_Elbow_Angle_min,R_Elbow_Angle_avg,R_Elbow_Angle_var,L_Hip_Angle_max,L_Hip_Angle_min,L_Hip_Angle_avg,L_Hip_Angle_var,R_Hip_Angle_max,R_Hip_Angle_min,R_Hip_Angle_avg,R_Hip_Angle_var,L_Knee_Angle_max,L_Knee_Angle_min,L_Knee_Angle_avg,L_Knee_Angle_var,R_Knee_Angle_max,R_Knee_Angle_min,R_Knee_Angle_avg,R_Knee_Angle_var,Head_x_std,L_Sho_x_std,R_Sho_x_std,L_Elb_x_std,R_Elb_x_std,L_Wri_x_std,R_Wri_x_std,L_Hip_x_std,R_Hip_x_std,L_Kne_x_std,R_Kne_x_std,L_Ank_x_std,R_Ank_x_std,Head_y_std,L_Sho_y_std,R_Sho_y_std,L_Elb_y_std,R_Elb_y_std,L_Wri_y_std,R_Wri_y_std,L_Hip_y_std,R_Hip_y_std,L_Kne_y_std,R_Kne_y_std,L_Ank_y_std,R_Ank_y_std
955,Front,0.9999999999423963,0.680365839132892,0.8025155795342774,0.09518826170179716,0.9999999999416671,0.6859199333361536,0.8782414821025821,0.05659538267778015,0.9999999997859589,0.6914446843837626,0.7287010915075512,0.03663263229625351,0.9999999998074701,0.7114372929329454,0.9482710072571857,0.045032323487901094,0.9999999986431479,0.5038688523929352,0.5680969267160394,0.19037893391191257,0.9999999981583794,0.04914961083177449,0.2994901145905201,0.8076237079223826,0.9993236384851794,0.24997319032171858,0.30942439805612526,0.3931233438243118,0.9999999993887531,0.48826547314831736,0.6219655796545994,0.3671820401028872,0.06324407180229959,0.04058589021022241,0.031669888847290543,0.030423033989729557,0.036239429519845434,0.03450491920684337,0.012796193313726422,0.1013972828412283,0.20267636211459608,0.0423091282630349,0.04840160398653109,0.035581895218550486,0.016177315206509037,0.32891780826963835,0.1124457626549792,0.12529273613986947,0.16396942751518082,0.13258974234672768,0.07316665002362244,0.0968513080003004,0.3897950433616174,0.3051595257934708,0.16908503869445068,0.16454563942056943,0.23726623179159223,0.26838048037183815
956,Side,0.15979262671890596,0.07530585579787945,0.09814318665565941,0.004237701542550593,0.11573236889017485,0.09184462553733598,0.1034250135329064,0.0012162450935638191,0.7307363012134551,0.5320374369731198,0.5643517155947869,0.0705701177870002,0.841932999452843,0.5177632005898705,0.5990846587792094,0.11332683302068872,0.9796472171239514,0.896393442505391,0.9363840820460464,0.014954955035428704,0.9944751362901009,0.9024214469728421,0.9494637027952373,0.015038145054928462,0.9841055120107861,0.9012332438711814,0.9440122511032071,0.014432966564102626,0.9999999993887531,0.9543717933681507,0.986568428256405,0.004395862023416499,0.13401137484914338,0.06557421941363287,0.03323403960060143,0.06487988503626761,0.0276749097878876,0.045913005276248586,0.013944769622321483,0.28992386838954287,0.12871478940427425,0.09933055204510342,0.0583674157520105,0.06707572085058379,0.03829767018773325,0.5227446548104241,0.22370713151924682,0.20218863393453362,0.15044509627352687,0.14880843768778027,0.04236165281831343,0.0652079609290175,0.8152048909694086,0.780191082529718,0.4171734479691186,0.4784497672982468,0.4856176535574493,0.37337944302110915
957,Side,0.12425115206657539,0.04103812804127342,0.05618594802831363,0.002895783019191273,0.09963250305666262,0.07120337873587511,0.07396026586388528,0.0016936871592412137,0.5237585615317297,0.42980561552496965,0.4621958656545442,0.06037005023881461,0.2042741624558576,0.4616483730297039,0.42319931370199193,0.030755346459184478,0.949796470895798,0.878032786770094,0.9187004860014928,0.023559896079674215,0.9999999981583794,0.9094840010219828,0.9397632527488984,0.014864247144388163,0.9976327355435806,0.8699195709522876,0.9188394736464934,0.019578552317013685,0.996943764671794,0.9504420913709812,0.9660401098036056,0.0069602540402084224,0.05755657450763171,0.041973452796246216,0.043736334604526694,0.07997159301852684,0.042346616252652174,0.03512603394259952,0.006551640002305961,0.2988760518549974,0.18582228417861804,0.08069792459051457,0.07488089901997268,0.15572213612565936,0.020301882635721708,0.5586676182197905,0.21474105705412166,0.20268893657546122,0.19330648428048983,0.16999651386661352,0.029742015292553315,0.05271596610174161,0.5849320349861901,0.5607609156934352,0.38220255495754896,0.439941319453208,0.5437707440274007,0.4574243300622774
958,Front,0.999884792569131,0.5991804251930645,0.7322391311252152,0.06496048520936604,0.9999999999416671,0.7759205281794109,0.8904873949178146,0.039327235293971974,0.9999999997859589,0.7008639308434805,0.7409480159067352,0.044229202837614404,0.9999999998074701,0.8893290900247237,0.9199252996001975,0.022117496287777656,0.9972862944405871,0.4678032786271733,0.42365920947438557,0.1306759600849431,0.9963167569128586,0.40098010948386,0.4212672626158873,0.1669704462278673,0.9999999996618194,0.5933512063706861,0.5235691611859135,0.12703411479567486,0.9987775055019691,0.31339373427427203,0.5468654918043108,0.30747980541656095,0.2666650117187306,0.20317283462290028,0.13654132940746536,0.09722924228841326,0.06468306970296411,0.06286947339014504,0.01882919985251564,0.3533583246274383,0.21261385432537983,0.03129630109141064,0.12540905738551064,0.050000090468119165,0.05893846475944666,0.31942998995162203,0.14330485400757326,0.08553503856326372,0.054152005494289265,0.07732997440992868,0.03115434400121504,0.029968636103142713,0.4025227589530091,0.3990950467553174,0.2186358740739368,0.20306358760295806,0.33381107998582366,0.30316728176777136
959,Side,0.04735023041201899,0.004751158094503436,0.038026731329554496,0.001686414781264053,,,,,0.3446061643098016,0.645128389690117,0.5293782368622436,0.01889782085590714,0.41047362333260023,0.6954601545303981,0.5620853341641615,0.01625229411929255,0.959294435604755,0.8864262293919443,0.9299707614271809,0.021234005423980955,,,,,0.7889753125502278,0.6156568363951038,0.6395675087700171,0.07563124294818584,,,,,0.40116982323388606,0.22741022215148862,0.21904259931404008,0.08580957200386632,0.07200486224300394,0.09028454402452903,0.03747088215364141,0.6291287683928191,,0.2498345941186218,0.262340262984959,0.24872555856931974,0.14090857783845523,0.4066843838615947,0.1258910230060616,0.11107865650906514,0.15975443560312455,0.13410980500941627,0.06968119864854984,0.076679606949463,0.3715615345471206,,0.25427507494763296,0.24934963845220734,0.28447175424258103,0.2654175248675705
960,Front,0.9999999999423963,0.6389713742345308,0.8540934240298986,0.06139084881212753,0.9999999999416671,0.8579501516353606,0.9250686149663865,0.043747532521258604,0.9999999997859589,0.5791336692717102,0.6451459701377088,0.0750751231746472,0.999614940123293,0.4502175748230033,0.3776464760662035,0.2058338839683185,0.9999999986431479,0.34924590159354163,0.575972834175378,0.37821038906938664,0.9963167569128586,0.2810608244045747,0.13140722311483205,0.25440335346467174,0.9993236384851794,0.5721179624051348,0.594947525861456,0.24270494747970817,0.9987775055019691,0.3180875449931135,0.2145211047945071,0.23562497841627317,0.1325469297431305,0.06288972963719681,0.07952185906869456,0.021433005396409088,0.7751708946948126,0.02424202325411526,0.01888876119572121,0.16032584734267125,0.08270006583711513,0.04989605434038817,0.0,0.10243228703254224,0.03309408943191572,0.18925880009899843,0.08661942975566819,0.05192495333276689,0.1021977044419309,0.22037244671945064,0.004881479413426045,0.00390626827436407,0.13274655184840548,0.1414698854257433,0.21780530159098815,0.02458519038758254,0.12426877334926158,0.07312527839241519
961,Side,0.0,0.0,0.0,0.00015821035555467486,,,,,0.6680222601309885,0.5404367650263716,0.5971884936498337,0.06936377493767366,0.7013862147282662,0.5821263882196449,0.6290370678862544,0.06685432885978165,0.8860244221356517,0.9017704916850137,0.936177550568728,0.014841587857480113,,,,,0.5661143048474414,0.683646112527223,0.653607452356614,0.03953104013875006,,,,,0.20218868602484863,0.03397100367424629,0.023452970941249877,0.029593374763416086,0.017786359116286485,0.02927864343458645,0.011598606206341082,0.27535087875874864,,0.08805793115598518,0.10348870120813759,0.008997295125019119,0.007096309097344805,0.45221027133440855,0.12208970232481782,0.10729223069662751,0.1416791574667289,0.11667857179130048,0.026396492418932008,0.034806938406958275,0.18699563470886427,,0.15687876745553544,0.15053830016728345,0.045559749992860894,0.04576330324315389
962,Side,0.2797235022880344,0.1530466801191919,0.19544829933682412,0.017063327624345113,0.11106574111234521,0.03765391707586378,0.06563423066703061,0.008788626431488339,0.8889126710426128,0.8243940484266623,0.7986470047620275,0.013397743350744309,0.9946091642289931,0.4334610638154535,0.7514062635214748,0.27427816799632804,0.10719131600109612,0.44891803272801073,0.6128322421316834,0.3472866697795871,0.8379373833555491,0.766359181209807,0.8130147341653129,0.10048723038359703,0.6723030095798772,0.7189276138639219,0.6886163987148708,0.031657418453279414,0.08801955984840032,0.6772186441788869,0.6278149880812829,0.04382340929471129,0.38242303673367917,0.9999999994107327,0.5345176614309174,0.07140181947923506,0.07726105606413426,0.047435953709607855,0.4421998273567039,0.49561991380468634,0.35326436343873635,0.16526673541089493,0.17964450680561186,0.1582279006369103,0.09381363244177629,0.8930598859324408,0.9999999997497431,0.9999999997507237,0.3100310370729546,0.2255402093171715,0.13340275396529236,0.08160847624229255,0.8683922274148601,0.9684261105843788,0.7672628131761722,0.6639304555886302,0.9216785452910775,0.9999999995145106
963,Side,0.04660138248579485,0.03741536999421455,0.03668318558726272,0.0002531669682893952,0.13165723618201847,0.09333174706481875,0.1056031626672479,0.0029229516959218857,0.11686643833115033,0.5309575233662732,0.44441004826989655,0.01695762285929058,0.961879091073955,0.5040592322852465,0.6734748467821985,0.11035971727086077,0.9932157381367478,0.9140983605358559,0.9766547587052329,0.006148706905023317,0.3683241245518888,0.9035745170216816,0.8744360175724762,0.006336417220208845,0.9986472773085402,0.9050938336830999,0.9889089973734784,0.008652054942642623,0.9999999993887531,0.9831896080140609,0.9941382004578027,0.001923455507451463,0.08670522826714544,0.012377229930562207,0.023047985368642245,0.021868147074547734,0.011288565034520692,0.0,0.004362118290182169,0.0826992368947026,0.05769450541422205,0.027958887927291093,0.013838590063531768,0.019691920931526757,0.01588770674302648,0.3714673799755198,0.1507620712093209,0.14418294450166305,0.13853810112888928,0.09575326730498739,0.08577881446580977,0.07987016684489252,0.3386527069825494,0.21020052940159756,0.17123131821427331,0.126097577172256,0.06387653331987246,0.10909516850882292
964,Side,0.13876728109799724,0.08189808765400296,0.09167771662383517,0.002441208904888305,0.16204864958513396,0.0837546844278297,0.10156534919561741,0.006943316455072589,0.977525684722276,0.35415166784532326,0.5090810910550438,0.23269745121349567,0.33557951476018893,0.3464311229235285,0.3375378157626963,0.11548123179882218,0.9864314776303515,0.9527868851209458,0.9740172034172538,0.003296381149098727,0.460405155689861,0.8748918995568042,0.8824043102026708,0.01860126086267523,0.9986472773085402,0.924396782742692,0.9726852760550826,0.008363888750817021,0.9724938869361291,0.8515445911088807,0.9246939209669548,0.025566741823984728,0.1315984841696381,0.051370050079883364,0.04509355638671315,0.08225395979797731,0.12566946824588957,0.031961770271350845,0.014587718872366179,0.08061525394680193,0.1455931685559038,0.04878703504071948,0.07465551654647833,0.04526721844016101,0.04674761598558632,0.7854851459641061,0.41854170797801116,0.4118701848049802,0.36812551783904,0.315077636361453,0.04111507294060852,0.055172983775608364,0.7221489219669216,0.825892915380441,0.40944101200582206,0.43558521249002097,0.3838503414459834,0.4110488100344472
